person_key,event_name,gender,times,dates
3100,100 FL (SCY),F,"['57.64', '56.78', '57.18', '56.91', '56.87', '56.78', '57.18', '56.91', '56.87', '56.78', '56.53', '56.14', '56.87', '56.78', '56.53', '56.91', '57.64', '57.57', '56.53', '56.14', '56.87', '57.57', '57.18', '56.91', '56.87', '56.78', '57.18', '56.14', '56.87', '57.57', '56.53', '56.91', '57.64', '57.57', '57.18', '56.14', '56.87', '57.57', '56.53', '56.14', '57.64', '57.57', '57.18', '56.91', '57.64', '56.78', '56.53', '56.14', '57.64', '56.78', '56.53', '56.91', '57.64', '57.57', '56.53', '56.91', '57.64', '56.78', '57.18', '56.14', '56.87', '57.57', '57.18', '56.14']","['20130221', '20141212', '20150320', '20171117', '20131206', '20141212', '20150320', '20171117', '20131206', '20141212', '20151210', '20170219', '20131206', '20141212', '20151210', '20171117', '20130221', '20140227', '20151210', '20170219', '20131206', '20140227', '20150320', '20171117', '20131206', '20141212', '20150320', '20170219', '20131206', '20140227', '20151210', '20171117', '20130221', '20140227', '20150320', '20170219', '20131206', '20140227', '20151210', '20170219', '20130221', '20140227', '20150320', '20171117', '20130221', '20141212', '20151210', '20170219', '20130221', '20141212', '20151210', '20171117', '20130221', '20140227', '20151210', '20171117', '20130221', '20141212', '20150320', '20170219', '20131206', '20140227', '20150320', '20170219']"
3100,200 IM (SCY),F,"['130.0', '135.95', '127.31', '129.25', '137.2', '127.95', '128.6', '126.0', '137.2', '135.95', '128.6', '126.0', '137.2', '127.95', '127.31', '126.0', '137.2', '135.95', '127.31', '126.0', '130.0', '135.95', '127.31', '126.0', '137.2', '135.95', '128.6', '129.25', '130.0', '127.95', '127.31', '126.0', '137.2', '127.95', '127.31', '129.25', '137.2', '135.95', '127.31', '129.25', '130.0', '127.95', '127.31', '129.25', '130.0', '127.95', '128.6', '129.25', '137.2', '127.95', '128.6', '129.25', '130.0', '127.95', '128.6', '126.0', '130.0', '135.95', '128.6', '129.25', '130.0', '135.95', '128.6', '126.0']","['20131206', '20140227', '20151204', '20171116', '20130221', '20141212', '20150321', '20170219', '20130221', '20140227', '20150321', '20170219', '20130221', '20141212', '20151204', '20170219', '20130221', '20140227', '20151204', '20170219', '20131206', '20140227', '20151204', '20170219', '20130221', '20140227', '20150321', '20171116', '20131206', '20141212', '20151204', '20170219', '20130221', '20141212', '20151204', '20171116', '20130221', '20140227', '20151204', '20171116', '20131206', '20141212', '20151204', '20171116', '20131206', '20141212', '20150321', '20171116', '20130221', '20141212', '20150321', '20171116', '20131206', '20141212', '20150321', '20170219', '20131206', '20140227', '20150321', '20171116', '20131206', '20140227', '20150321', '20170219']"
3100,200 FL (SCY),F,"['125.56', '125.07', '121.48', '121.48', '125.06', '125.07', '123.58', '121.48', '125.56', '125.07', '123.58', '123.2', '125.06', '125.07', '121.48', '123.2', '125.56', '125.07', '123.58', '121.48', '125.06', '125.07', '123.58', '123.2', '125.06', '125.07', '121.48', '121.48', '125.56', '125.07', '121.48', '123.2']","['20131208', '20140318', '20151209', '20170315', '20130221', '20140318', '20150318', '20170315', '20131208', '20140318', '20150318', '20171104', '20130221', '20140318', '20151209', '20171104', '20131208', '20140318', '20150318', '20170315', '20130221', '20140318', '20150318', '20171104', '20130221', '20140318', '20151209', '20170315', '20131208', '20140318', '20151209', '20171104']"
3100,400 IM (SCY),F,"['284.16', '277.13', '274.08', '265.28', '284.16', '277.13', '274.08', '268.35', '276.45', '277.13', '274.08', '265.28', '276.45', '277.13', '274.08', '268.35']","['20131114', '20140227', '20150227', '20170217', '20131114', '20140227', '20150227', '20171117', '20130221', '20140227', '20150227', '20170217', '20130221', '20140227', '20150227', '20171117']"
3100,200 IM (LCM),F,"['152.45', '151.32', '150.25', '152.92']","['20130613', '20140717', '20150627', '20170624']"
3100,100 FL (LCM),F,"['64.4', '64.08', '64.92', '65.71']","['20130730', '20140717', '20150719', '20170625']"
3100,400 IM (LCM),F,"['317.61', '314.56', '311.46', '311.83']","['20130718', '20140729', '20150626', '20170623']"
3100,200 FL (LCM),F,"['141.27', '142.57', '140.22', '142.97']","['20130718', '20140729', '20150729', '20170624']"
6660,50 FR (LCM),F,"['29.35', '30.04', '29.08', '29.52']","['20130718', '20140703', '20150522', '20170729']"
6660,50 FR (SCY),F,"['26.28', '26.33', '24.91', '25.5', '25.98', '25.96', '24.91', '25.03', '25.98', '25.96', '26.08', '25.5', '26.28', '26.33', '26.08', '25.5', '25.98', '25.96', '26.08', '25.03', '26.28', '26.33', '26.08', '25.03', '25.98', '25.96', '24.91', '25.5', '25.98', '26.33', '26.08', '25.03', '26.28', '25.96', '26.08', '25.03', '25.98', '26.33', '24.91', '25.03', '26.28', '26.33', '24.91', '25.03', '26.28', '25.96', '24.91', '25.5', '25.98', '26.33', '26.08', '25.5', '26.28', '25.96', '24.91', '25.03', '25.98', '26.33', '24.91', '25.5', '26.28', '25.96', '26.08', '25.5']","['20130307', '20140214', '20151106', '20171116', '20131110', '20141109', '20151106', '20170305', '20131110', '20141109', '20141205', '20171116', '20130307', '20140214', '20141205', '20171116', '20131110', '20141109', '20141205', '20170305', '20130307', '20140214', '20141205', '20170305', '20131110', '20141109', '20151106', '20171116', '20131110', '20140214', '20141205', '20170305', '20130307', '20141109', '20141205', '20170305', '20131110', '20140214', '20151106', '20170305', '20130307', '20140214', '20151106', '20170305', '20130307', '20141109', '20151106', '20171116', '20131110', '20140214', '20141205', '20171116', '20130307', '20141109', '20151106', '20170305', '20131110', '20140214', '20151106', '20171116', '20130307', '20141109', '20141205', '20171116']"
